日期,商品名称,规格型号,客户名称,单据类型,单据编号,单位,数量,单价,金额
3/28/2017,脂肪族减水剂,,全椒玉双建材加工厂,销售单,0003841,吨,12.560 ,"1,500.00 ","18,840.00 "
3/30/2017,脂肪族减水剂,,定远县盛强建材混凝土有限公司,销售单,0003842,吨,33.060 ,"1,430.00 ","47,275.80 "
4/25/2017,脂肪族减水剂,,全椒玉双建材加工厂,销售单,0003843,吨,12.320 ,"1,500.00 ","18,480.00 "
5/2/2017,聚羧酸减水剂,,来安县世豪建材化工有限公司,销售单,0003844,吨,10.360 ,"5,200.00 ","53,872.00 "
5/3/2017,聚羧酸减水剂,,来安县世豪建材化工有限公司,销售单,0003845,吨,13.040 ,"5,200.00 ","67,808.00 "
5/4/2017,聚羧酸减水剂,,来安县世豪建材化工有限公司,销售单,0003846,吨,14.560 ,"5,200.00 ","75,712.00 "
5/9/2017,聚羧酸减水剂,,来安县世豪建材化工有限公司,销售单,0003847,吨,4.940 ,"5,200.00 ","25,688.00 "
5/15/2017,聚羧酸减水剂,,来安县世豪建材化工有限公司,销售单,0003848,吨,10.580 ,"5,200.00 ","55,016.00 "
5/16/2017,聚羧酸减水剂,,南京扬子混凝土制品有限公司淮南分公司,龙凤销售单,00000391,吨,14.860 ,"3,300.00 ","49,038.00 "
5/17/2017,脂肪族减水剂,,夏邑栗隆建材有限公司,销售单,0003850,吨,28.200 ,"1,360.00 ","38,352.00 "
5/26/2017,聚羧酸减水剂,,来安县世豪建材化工有限公司,销售单,0003851,吨,3.200 ,"5,200.00 ","16,640.00 "
5/27/2017,聚羧酸减水剂,,南京扬子混凝土制品有限公司淮南分公司,龙凤销售单,00000393,吨,9.827 ,"5,200.00 ","51,100.40 "
6/1/2017,聚羧酸减水剂,,来安县世豪建材化工有限公司,销售单,0003852,吨,2.540 ,"5,400.00 ","13,716.00 "
6/2/2017,聚羧酸减水剂,,来安县世豪建材化工有限公司,销售单,0003853,吨,10.140 ,"1,800.00 ","18,252.00 "
